設置點,Hour,populartimes_count
振發食品行,5,0
振發食品行,6,0
振發食品行,7,0
振發食品行,8,33
振發食品行,9,25
振發食品行,10,25
振發食品行,11,16
振發食品行,12,16
振發食品行,13,50
振發食品行,14,58
振發食品行,15,33
振發食品行,16,33
振發食品行,17,50
振發食品行,18,75
振發食品行,19,75
振發食品行,20,58
振發食品行,21,0
振發食品行,22,0
振發食品行,23,0
掌上明珠,0,0
掌上明珠,1,0
掌上明珠,2,0
掌上明珠,3,0
掌上明珠,4,0
掌上明珠,5,0
掌上明珠,6,0
掌上明珠,7,0
掌上明珠,8,0
掌上明珠,9,0
掌上明珠,10,0
掌上明珠,11,59
掌上明珠,12,75
掌上明珠,13,84
掌上明珠,14,87
掌上明珠,15,0
掌上明珠,16,0
掌上明珠,17,48
掌上明珠,18,39
掌上明珠,19,37
掌上明珠,20,35
掌上明珠,21,31
掌上明珠,22,0
掌上明珠,23,0
提樂茶飲專賣店,0,0
提樂茶飲專賣店,1,0
提樂茶飲專賣店,2,0
提樂茶飲專賣店,3,0
提樂茶飲專賣店,4,0
提樂茶飲專賣店,5,0
提樂茶飲專賣店,6,0
提樂茶飲專賣店,7,0
提樂茶飲專賣店,8,0
提樂茶飲專賣店,9,66
提樂茶飲專賣店,10,50
提樂茶飲專賣店,11,66
提樂茶飲專賣店,12,55
提樂茶飲專賣店,13,55
提樂茶飲專賣店,14,33
提樂茶飲專賣店,15,38
提樂茶飲專賣店,16,33
提樂茶飲專賣店,17,50
提樂茶飲專賣店,18,44
提樂茶飲專賣店,19,33
提樂茶飲專賣店,20,38
提樂茶飲專賣店,21,55
提樂茶飲專賣店,22,38
提樂茶飲專賣店,23,0
新巴適經典麻辣鍋,0,0
新巴適經典麻辣鍋,1,0
新巴適經典麻辣鍋,2,0
新巴適經典麻辣鍋,3,0
新巴適經典麻辣鍋,4,0
新巴適經典麻辣鍋,5,0
新巴適經典麻辣鍋,6,0
新巴適經典麻辣鍋,7,0
新巴適經典麻辣鍋,8,0
新巴適經典麻辣鍋,9,0
新巴適經典麻辣鍋,10,0
新巴適經典麻辣鍋,11,35
新巴適經典麻辣鍋,12,42
新巴適經典麻辣鍋,13,40
新巴適經典麻辣鍋,14,37
新巴適經典麻辣鍋,15,0
新巴適經典麻辣鍋,16,0
新巴適經典麻辣鍋,17,77
新巴適經典麻辣鍋,18,97
新巴適經典麻辣鍋,19,97
新巴適經典麻辣鍋,20,80
新巴適經典麻辣鍋,21,55
新巴適經典麻辣鍋,22,0
新巴適經典麻辣鍋,23,0
旭西餅舖,0,0
旭西餅舖,1,0
旭西餅舖,2,0
旭西餅舖,3,0
旭西餅舖,4,0
旭西餅舖,5,0
旭西餅舖,6,13
旭西餅舖,7,22
旭西餅舖,8,34
旭西餅舖,9,40
旭西餅舖,10,40
旭西餅舖,11,28
旭西餅舖,12,25
旭西餅舖,13,21
旭西餅舖,14,27
旭西餅舖,15,27
旭西餅舖,16,28
旭西餅舖,17,28
旭西餅舖,18,0
旭西餅舖,19,0
旭西餅舖,20,0
旭西餅舖,21,0
旭西餅舖,22,0
旭西餅舖,23,0
曾記滿福堂擔仔麵,0,0
曾記滿福堂擔仔麵,1,0
曾記滿福堂擔仔麵,2,0
曾記滿福堂擔仔麵,3,0
曾記滿福堂擔仔麵,4,0
曾記滿福堂擔仔麵,5,0
曾記滿福堂擔仔麵,6,0
曾記滿福堂擔仔麵,7,0
曾記滿福堂擔仔麵,8,0
曾記滿福堂擔仔麵,9,0
曾記滿福堂擔仔麵,10,0
曾記滿福堂擔仔麵,11,32
曾記滿福堂擔仔麵,12,42
曾記滿福堂擔仔麵,13,42
曾記滿福堂擔仔麵,14,39
曾記滿福堂擔仔麵,15,38
曾記滿福堂擔仔麵,16,44
曾記滿福堂擔仔麵,17,65
曾記滿福堂擔仔麵,18,83
曾記滿福堂擔仔麵,19,100
曾記滿福堂擔仔麵,20,89
曾記滿福堂擔仔麵,21,72
曾記滿福堂擔仔麵,22,46
